mysql> SELECT * FROM gmina;
+------+-----------------------------+
| id   | name                        |
|  693 | m. Ostrów Mazowiecka        |
|  694 | gm. Chmielno                |
|  695 | gm. Rogo?no                 |
|  696 | gm. Frampol                 |
|  697 | gm. Janowiec                |
|  698 | m. Nowy S?cz                |
|  699 | gm. Koszyce                 |
|  700 | m. W?brze?no                |
|  701 | m. Sopot                    |
|  702 | m. Toru?                    |
|  703 | m. Racibórz                 |
|  704 | m. Gdynia                   |
|  705 | m. B?dzin                   |
|  706 | m. Pionki                   |
|  707 | gm. Wo?ów                   |
|  708 | gm. Strzelin                |
|  709 | m. Legnica                  |
|  710 | m. Mr?gowo                  |
|  711 | gm. Prudnik                 |
|  712 | gm. Strzelce Opolskie       |
|  713 | m. O?awa                    |
|  714 | gm. Skwierzyna              |
|  715 | gm. Stryków                 |
|  716 | gm. Mosina                  |
|  717 | gm. Suchedniów              |
|  718 | gm. Szczytno                |
|  719 | gm. Miedziana Góra          |
|  720 | gm. Wle?                    |
|  721 | gm. Wielgie                 |
|  722 | gm. Bolków                  |
|  723 | gm. Dobre Miasto            |
|  724 | gm. Soko?y                  |
|  725 | gm. Radziemice              |
|  726 | gm. Prochowice              |
|  727 | gm. Siemiatycze             |
|  728 | gm. Strzegowo               |
|  729 | m. Radzionków               |
|  730 | gm. Grodzisk Wielkopolski   |
|  731 | gm. Nowe                    |
|  732 | gm. Markowa                 |
|  733 | gm. ?apanów                 |
|  734 | gm. ?om?a                   |
|  735 | gm. Izabelin                |
|  736 | gm. Wadowice                |
|  737 | gm. Krynica-Zdrój           |
|  738 | gm. Siechnice               |
|  739 | gm. Poniatowa               |
|  740 | gm. Sieraków                |
|  741 | gm. Koronowo                |
|  742 | gm. Go?dap                  |
|  743 | gm. Pelplin                 |
|  744 | Wilanów                     |
|  745 | gm. ?ubnice                 |
|  746 | gm. D?bica                  |
|  747 | gm. Augustów                |
|  748 | gm. Studzienice             |
|  749 | gm. ?wieszyno               |
|  750 | gm. Nowa Sarzyna            |
|  751 | gm. Bardo                   |
|  752 | gm. Brusy                   |
|  753 | gm. Zakrzówek               |
|  754 | gm. Domaniów                |
|  755 | gm. Zb?szynek               |
|  756 | m. Podkowa Le?na            |
|  757 | gm. Go?cino                 |
|  758 | gm. Bobowa                  |
|  759 | gm. Telatyn                 |
|  760 | gm. Kocmyrzów-Luborzyca     |
|  761 | gm. Chrzanów                |
|  762 | m. Kra?nik                  |
|  763 | gm. Kobylanka               |
|  764 | gm. Stara D?browa           |
|  765 | gm. Be?chatów               |
|  766 | gm. Kietrz                  |
|  767 | gm. Radzanowo               |
|  768 | gm. Tarnów                  |
|  769 | m. Pruszcz Gda?ski          |
|  770 | gm. Cieszanów               |
